Voltage (V),Current (A)
4.4945,2.57272e-06
4.5045,2.59149e-06
4.5145,2.61617e-06
4.5245,2.62932e-06
4.5345,2.64117e-06
4.5445,2.66439e-06
4.5546,2.68587e-06
4.5646,2.69607e-06
4.5746,2.71162e-06
4.5846,2.73763e-06
4.5946,2.75564e-06
4.6046,2.76562e-06
4.6146,2.7855e-06
4.6246,2.81096e-06
4.6346,2.82489e-06
4.6446,2.83783e-06
4.6547,2.86224e-06
4.6647,2.88441e-06
4.6747,2.89554e-06
4.6847,2.91217e-06
4.6947,2.93925e-06
4.7047,2.95781e-06
4.7147,2.96879e-06
4.7247,2.98993e-06
4.7347,3.01619e-06
4.7447,3.03089e-06
4.7548,3.04503e-06
4.7648,3.07062e-06
4.7748,3.09354e-06
4.7848,3.10522e-06
4.7948,3.1234e-06
4.8048,3.15143e-06
4.8148,3.17072e-06
4.8248,3.18283e-06
4.8348,3.20506e-06
4.8448,3.23062e-06
4.8549,3.24317e-06
4.8649,3.26567e-06
4.8749,3.2932e-06
4.8849,3.31306e-06
4.8949,3.32566e-06
4.9049,3.34612e-06
4.9149,3.37504e-06
4.9249,3.39396e-06
4.9349,3.40757e-06
4.9449,3.4326e-06
4.955,3.45947e-06
4.965,3.47482e-06
4.975,3.49234e-06
4.985,3.52139e-06
4.995,3.54462e-06
5.005,3.55796e-06
5.015,3.57966e-06
5.025,3.60952e-06
5.035,3.62959e-06
5.045,3.64432e-06
5.0551,3.67066e-06
5.0651,3.69841e-06
5.0751,3.71489e-06
5.0851,3.73342e-06
5.0951,3.7635e-06
5.1051,3.78787e-06
5.1151,3.80226e-06
5.1251,3.82514e-06
5.1351,3.8562e-06
5.1451,3.87719e-06
5.1552,3.89331e-06
5.1652,3.92059e-06
5.1752,3.94929e-06
5.1852,3.96679e-06
5.1952,3.9865e-06
5.2052,4.0179e-06
5.2152,4.04326e-06
5.2252,4.05877e-06
5.2352,4.08287e-06
5.2452,4.11503e-06
5.2553,4.13716e-06
5.2653,4.15943e-06
5.2753,4.18811e-06
5.2853,4.20559e-06
5.2953,4.22766e-06
5.3053,4.26019e-06
5.3153,4.28608e-06
5.3253,4.30268e-06
5.3353,4.32833e-06
5.3453,4.36146e-06
5.3554,4.38403e-06
5.3654,4.4027e-06
5.3754,4.43295e-06
5.3854,4.46327e-06
5.3954,4.4828e-06
5.4054,4.50494e-06
5.4154,4.53883e-06
5.4254,4.56612e-06
5.4354,4.58395e-06
5.4454,4.6107e-06
5.4555,4.64521e-06
5.4655,4.66879e-06
5.4755,4.68862e-06
5.4855,4.71998e-06
5.4955,4.75156e-06
5.5055,4.77184e-06
5.5155,4.79586e-06
5.5255,4.83103e-06
5.5355,4.85925e-06
